cat_id	name	imgs	objs	s_objs	m_objs	l_objs
8	truck	5201	7248	0	3933	3315
10	traffic light	1733	2848	0	2381	467
11	fire hydrant	1329	1412	0	574	838
13	stop sign	1272	1377	0	605	772
14	parking meter	506	689	0	294	395
15	bench	4305	6095	0	3638	2457
22	elephant	2108	4739	0	1873	2866
23	bear	953	1257	0	283	974
24	zebra	1872	4531	0	2023	2508
25	giraffe	2515	4703	0	1764	2939
27	backpack	3364	4308	0	3548	760
28	umbrella	3316	6631	0	4399	2232
31	handbag	3930	5089	0	4305	784
32	tie	2283	2913	0	2266	647
33	suitcase	2127	4818	0	2725	2093
34	frisbee	1165	1245	0	1013	232
35	skis	1601	2183	0	2020	163
36	snowboard	1064	1376	0	1010	366
37	sports ball	768	879	0	798	81
38	kite	1368	2329	0	1808	521
39	baseball bat	1015	1127	0	1074	53
40	baseball glove	1069	1156	0	1076	80
41	skateboard	2601	3041	0	2579	462
42	surfboard	2494	3607	0	2560	1047
43	tennis racket	2582	3088	0	2645	443
46	wine glass	1829	3867	0	2990	877
47	cup	6326	10571	0	7866	2705
48	fork	2023	2299	0	2041	258
49	knife	2258	2715	0	2340	375
50	spoon	1641	2002	0	1767	235
51	bowl	5668	9692	0	5798	3894
52	banana	1932	5786	0	3894	1892
53	apple	1187	3296	0	2302	994
54	sandwich	2221	3786	0	1337	2449
55	orange	1297	3711	0	2515	1196
56	broccoli	1822	6014	0	4157	1857
57	carrot	1386	4300	0	3683	617
58	hot dog	1117	2098	0	1147	951
59	pizza	3097	5042	0	1640	3402
60	donut	1345	4902	0	3124	1778
61	cake	2798	5073	0	2537	2536
63	couch	4397	5704	0	1360	4344
65	bed	3671	4152	0	358	3794
70	toilet	3275	3972	0	1313	2659
73	laptop	3333	4336	0	1773	2563
74	mouse	890	970	0	796	174
75	remote	1148	1529	0	1138	391
76	keyboard	1868	2372	0	1330	1042
77	cell phone	2001	2523	0	1821	702
78	microwave	1421	1526	0	894	632
79	oven	2817	3215	0	1177	2038
80	toaster	171	174	0	131	43
81	sink	3723	4259	0	2688	1571
82	refrigerator	2348	2612	0	592	2020
84	book	3441	6956	0	5737	1219
85	clock	2639	3353	0	2361	992
86	vase	2365	3862	0	2299	1563
87	scissors	632	946	0	613	333
88	teddy bear	2027	4159	0	1897	2262
89	hair drier	121	122	0	95	27
90	toothbrush	421	696	0	527	169
